product_id,product_name,category,subcategory,cost_price
P0001,Comics,Books,Books Products,3570.45
P0002,Camera,Electronics,Electronics Products,1680.74
P0003,Curtains,Home,Home Products,4506.52
P0004,Table,Home,Home Products,617.65
P0005,Jeans,Clothing,Clothing Products,2097.56
P0006,Jeans,Clothing,Clothing Products,3974.25
P0007,Curtains,Home,Home Products,2502.95
P0008,Mobile,Electronics,Electronics Products,389.28
P0009,Jacket,Clothing,Clothing Products,3139.18
P0010,Dictionary,Books,Books Products,4921.96
P0011,Jacket,Clothing,Clothing Products,3344.04
P0012,Novel,Books,Books Products,4170.96
P0013,Dictionary,Books,Books Products,4201.9
P0014,Keyboard,Electronics,Electronics Products,4106.66
P0015,Comics,Books,Books Products,4421.0
P0016,Comics,Books,Books Products,139.86
P0017,Table,Home,Home Products,1415.48
P0018,Curtains,Home,Home Products,2682.56
P0019,Chair,Home,Home Products,1330.62
P0020,Cushion,Home,Home Products,2770.23
P0021,Curtains,Home,Home Products,4190.11
P0022,Lamp,Home,Home Products,1372.62
P0023,Lamp,Home,Home Products,1682.88
P0024,Jacket,Clothing,Clothing Products,3459.73
P0025,Jacket,Clothing,Clothing Products,3327.39
P0026,Mobile,Electronics,Electronics Products,921.39
P0027,Keyboard,Electronics,Electronics Products,3398.19
P0028,Keyboard,Electronics,Electronics Products,3025.92
P0029,Laptop,Electronics,Electronics Products,4175.39
P0030,Lamp,Home,Home Products,2492.81
P0031,Comics,Books,Books Products,877.7
P0032,T-Shirt,Clothing,Clothing Products,4611.88
P0033,Comics,Books,Books Products,1751.23
P0034,Headphones,Electronics,Electronics Products,4384.73
P0035,Shoes,Clothing,Clothing Products,2906.05
P0036,Biography,Books,Books Products,407.98
P0037,Lamp,Home,Home Products,2044.56
P0038,Dictionary,Books,Books Products,506.53
P0039,T-Shirt,Clothing,Clothing Products,1451.48
P0040,Novel,Books,Books Products,3724.04
P0041,Cushion,Home,Home Products,4777.91
P0042,Comics,Books,Books Products,1605.31
P0043,Table,Home,Home Products,4641.54
P0044,Jacket,Clothing,Clothing Products,4638.68
P0045,Laptop,Electronics,Electronics Products,656.58
P0046,Comics,Books,Books Products,3929.84
P0047,Novel,Books,Books Products,317.02
P0048,Textbook,Books,Books Products,669.51
P0049,Textbook,Books,Books Products,1065.92
P0050,Cushion,Home,Home Products,3933.41
P0051,Lamp,Home,Home Products,2790.47
P0052,Comics,Books,Books Products,2786.42
P0053,Comics,Books,Books Products,1545.14
P0054,Headphones,Electronics,Electronics Products,4747.8
P0055,Cushion,Home,Home Products,435.06
P0056,Lamp,Home,Home Products,4382.94
P0057,Headphones,Electronics,Electronics Products,4235.92
P0058,Camera,Electronics,Electronics Products,744.41
P0059,Chair,Home,Home Products,4761.0
P0060,Mobile,Electronics,Electronics Products,647.75
P0061,Table,Home,Home Products,4625.26
P0062,Novel,Books,Books Products,1874.36
P0063,Laptop,Electronics,Electronics Products,2006.52
P0064,Laptop,Electronics,Electronics Products,200.71
P0065,Jeans,Clothing,Clothing Products,4892.5
P0066,Novel,Books,Books Products,4302.28
P0067,Jacket,Clothing,Clothing Products,642.08
P0068,Dress,Clothing,Clothing Products,2697.54
P0069,Shoes,Clothing,Clothing Products,1989.13
P0070,Shoes,Clothing,Clothing Products,3597.96
P0071,Textbook,Books,Books Products,629.03
P0072,Laptop,Electronics,Electronics Products,1860.58
P0073,Textbook,Books,Books Products,352.67
P0074,Laptop,Electronics,Electronics Products,381.84
P0075,Biography,Books,Books Products,1222.68
