cohort_month,activity_month,active_customers
2025-05,2025-05,45
2025-05,2025-06,10
2025-05,2025-07,6
2025-05,2025-08,5
2025-05,2025-09,9
2025-05,2025-10,7
2025-05,2025-11,10
2025-05,2025-12,6
2025-05,2026-01,6
2025-05,2026-02,5
2025-05,2026-03,3
2025-05,2026-04,4
2025-05,2026-05,3
2025-05,2026-06,5
2025-05,2026-07,7
2025-06,2025-06,53
2025-06,2025-07,7
2025-06,2025-08,5
2025-06,2025-09,7
2025-06,2025-10,6
2025-06,2025-11,3
2025-06,2025-12,6
2025-06,2026-01,8
2025-06,2026-02,8
2025-06,2026-03,7
2025-06,2026-04,6
2025-06,2026-05,8
2025-06,2026-06,6
2025-06,2026-07,11
2025-06,2026-08,2
2025-07,2025-07,70
2025-07,2025-08,10
2025-07,2025-09,6
2025-07,2025-10,9
2025-07,2025-11,6
2025-07,2025-12,4
2025-07,2026-01,13
2025-07,2026-02,5
2025-07,2026-03,9
2025-07,2026-04,10
2025-07,2026-05,10
2025-07,2026-06,5
2025-07,2026-07,6
2025-07,2026-08,3
2025-08,2025-08,44
2025-08,2025-09,3
2025-08,2025-10,6
2025-08,2025-11,2
2025-08,2025-12,1
2025-08,2026-01,6
2025-08,2026-02,3
2025-08,2026-03,4
2025-08,2026-04,7
2025-08,2026-05,2
2025-08,2026-06,2
2025-08,2026-07,5
2025-08,2026-08,1
2025-09,2025-09,30
2025-09,2025-10,8
2025-09,2025-11,3
2025-09,2025-12,5
2025-09,2026-01,6
2025-09,2026-02,3
2025-09,2026-03,6
2025-09,2026-04,3
2025-09,2026-05,3
2025-09,2026-06,3
2025-09,2026-07,2
2025-09,2026-08,2
2025-10,2025-10,32
2025-10,2025-11,5
2025-10,2025-12,2
2025-10,2026-01,4
2025-10,2026-02,5
2025-10,2026-03,4
2025-10,2026-04,4
2025-10,2026-05,3
2025-10,2026-06,1
2025-10,2026-07,4
2025-11,2025-11,27
2025-11,2025-12,4
2025-11,2026-01,6
2025-11,2026-02,7
2025-11,2026-03,3
2025-11,2026-04,3
2025-11,2026-05,1
2025-11,2026-06,2
2025-11,2026-07,2
2025-12,2025-12,27
2025-12,2026-01,3
2025-12,2026-02,6
2025-12,2026-03,3
2025-12,2026-04,4
2025-12,2026-05,1
2025-12,2026-06,3
2025-12,2026-07,3
2025-12,2026-08,1
2026-01,2026-01,11
2026-01,2026-02,1
2026-01,2026-03,2
2026-01,2026-05,1
2026-01,2026-06,3
2026-02,2026-02,18
2026-02,2026-03,3
2026-02,2026-04,2
2026-02,2026-05,2
2026-02,2026-06,1
2026-02,2026-07,3
2026-02,2026-08,1
2026-03,2026-03,17
2026-03,2026-04,1
2026-03,2026-05,3
2026-03,2026-06,2
2026-03,2026-07,2
2026-03,2026-08,1
2026-04,2026-04,10
2026-04,2026-06,2
2026-04,2026-07,2
2026-04,2026-08,1
2026-05,2026-05,11
2026-05,2026-07,2
2026-06,2026-06,13
2026-06,2026-07,1
2026-06,2026-08,1
2026-07,2026-07,15
2026-08,2026-08,3
