customer_id,order_month,previous_order_month
C0002,2026-07,2025-11
C0003,2026-03,2025-06
C0003,2026-04,2026-03
C0004,2025-11,2025-05
C0004,2025-12,2025-11
C0006,2025-11,2025-05
C0007,2026-02,2025-08
C0009,2025-10,2025-07
C0010,2025-11,2025-10
C0014,2026-03,2025-07
C0015,2025-08,2025-07
C0017,2026-02,2025-07
C0018,2026-06,2026-03
C0019,2026-08,2025-07
C0021,2025-10,2025-08
C0021,2026-04,2025-10
C0021,2026-05,2026-04
C0022,2026-04,2025-11
C0025,2025-11,2025-08
C0027,2025-10,2025-08
C0027,2026-07,2025-10
C0031,2025-08,2025-05
C0031,2025-09,2025-08
C0031,2026-07,2025-09
C0032,2026-04,2025-08
C0032,2026-08,2026-04
C0033,2026-06,2026-02
C0035,2025-08,2025-07
C0037,2025-11,2025-09
C0038,2025-12,2025-05
C0040,2026-01,2025-07
C0040,2026-04,2026-01
C0041,2025-08,2025-07
C0041,2026-03,2025-08
C0041,2026-05,2026-03
C0042,2026-05,2025-10
C0044,2026-08,2025-07
C0045,2026-08,2025-06
C0046,2026-05,2026-02
C0046,2026-07,2026-05
C0047,2025-07,2025-06
C0047,2025-09,2025-07
C0047,2026-02,2025-09
C0047,2026-06,2026-02
C0051,2026-04,2025-12
C0052,2025-12,2025-05
C0052,2026-06,2025-12
C0053,2026-02,2025-07
C0059,2025-09,2025-07
C0059,2025-10,2025-09
C0060,2025-06,2025-05
C0061,2026-02,2025-10
C0063,2026-02,2025-12
C0066,2026-01,2025-09
C0067,2025-10,2025-07
C0071,2025-10,2025-09
C0071,2026-02,2025-10
C0071,2026-03,2026-02
C0071,2026-08,2026-03
C0073,2026-07,2026-04
C0076,2025-10,2025-06
C0076,2025-11,2025-10
C0076,2026-01,2025-11
C0084,2026-05,2026-03
C0085,2026-01,2025-10
C0085,2026-05,2026-01
C0086,2025-11,2025-10
C0086,2026-03,2025-11
C0092,2026-02,2025-10
C0092,2026-04,2026-02
C0092,2026-07,2026-04
C0093,2026-04,2025-12
C0093,2026-08,2026-04
C0094,2026-03,2025-06
C0094,2026-05,2026-03
C0094,2026-07,2026-05
C0098,2026-01,2025-08
C0100,2026-05,2025-07
C0101,2026-02,2025-11
C0103,2026-07,2025-10
C0105,2026-01,2025-07
C0105,2026-02,2026-01
C0105,2026-04,2026-02
C0108,2026-01,2025-07
C0108,2026-06,2026-01
C0109,2026-01,2025-07
C0111,2026-04,2025-07
C0112,2026-01,2025-08
C0112,2026-07,2026-01
C0114,2026-02,2025-12
C0115,2025-11,2025-05
C0117,2025-10,2025-05
C0117,2026-01,2025-10
C0120,2025-06,2025-05
C0120,2025-11,2025-06
C0120,2026-02,2025-11
C0124,2025-09,2025-07
C0124,2025-10,2025-09
C0124,2026-07,2025-10
C0128,2026-03,2025-10
C0128,2026-04,2026-03
C0132,2026-03,2025-08
C0132,2026-04,2026-03
C0132,2026-07,2026-04
C0133,2025-08,2025-07
C0133,2025-11,2025-08
C0133,2026-05,2025-11
C0134,2025-11,2025-05
C0135,2026-05,2025-09
C0137,2026-03,2025-08
C0137,2026-04,2026-03
C0140,2025-09,2025-05
C0140,2025-10,2025-09
C0140,2025-12,2025-10
C0140,2026-02,2025-12
C0140,2026-07,2026-02
C0142,2026-01,2025-07
C0145,2025-09,2025-06
C0145,2026-02,2025-09
C0145,2026-03,2026-02
C0146,2026-01,2025-07
C0146,2026-03,2026-01
C0146,2026-05,2026-03
C0149,2026-01,2025-08
C0149,2026-04,2026-01
C0150,2025-06,2025-05
C0150,2026-02,2025-06
C0151,2026-05,2026-03
C0151,2026-07,2026-05
C0152,2025-07,2025-06
C0152,2025-10,2025-07
C0152,2026-05,2025-10
C0153,2025-08,2025-05
C0153,2026-01,2025-08
C0153,2026-05,2026-01
C0156,2026-02,2025-12
C0157,2026-07,2025-08
C0160,2026-06,2025-07
C0161,2025-11,2025-05
C0161,2026-04,2025-11
C0161,2026-05,2026-04
C0162,2025-10,2025-06
C0162,2026-01,2025-10
C0162,2026-05,2026-01
C0163,2026-07,2025-12
C0165,2026-01,2025-11
C0165,2026-06,2026-01
C0166,2025-12,2025-10
C0166,2026-02,2025-12
C0166,2026-04,2026-02
C0168,2025-08,2025-07
C0168,2026-05,2025-08
C0170,2025-10,2025-09
C0170,2026-07,2025-10
C0173,2025-08,2025-05
C0173,2025-10,2025-08
C0174,2025-10,2025-09
C0174,2025-12,2025-10
C0174,2026-03,2025-12
C0174,2026-04,2026-03
C0174,2026-06,2026-04
C0176,2026-06,2025-06
C0176,2026-07,2026-06
C0178,2025-12,2025-09
C0178,2026-01,2025-12
C0178,2026-03,2026-01
C0179,2026-01,2025-07
C0182,2025-12,2025-11
C0182,2026-01,2025-12
C0182,2026-03,2026-01
C0184,2026-01,2025-05
C0190,2026-03,2026-02
C0194,2026-05,2025-06
C0196,2026-04,2025-07
C0196,2026-07,2026-04
C0198,2026-04,2025-06
C0200,2026-01,2025-12
C0200,2026-06,2026-01
C0202,2026-02,2025-11
C0202,2026-04,2026-02
C0204,2026-02,2025-10
C0210,2026-02,2025-06
C0213,2025-11,2025-05
C0216,2025-10,2025-09
C0216,2025-12,2025-10
C0216,2026-01,2025-12
C0216,2026-07,2026-01
C0217,2026-02,2025-06
C0217,2026-07,2026-02
C0218,2025-10,2025-08
C0219,2026-01,2025-06
C0220,2025-08,2025-05
C0220,2026-03,2025-08
C0222,2026-02,2026-01
C0223,2025-08,2025-06
C0223,2025-12,2025-08
C0223,2026-07,2025-12
C0224,2026-01,2025-10
C0224,2026-03,2026-01
C0224,2026-05,2026-03
C0226,2026-01,2025-08
C0227,2026-06,2025-08
C0228,2025-10,2025-08
C0229,2026-01,2025-12
C0230,2026-05,2026-03
C0231,2026-04,2026-03
C0232,2025-11,2025-10
C0233,2025-09,2025-06
C0233,2025-10,2025-09
C0233,2026-06,2025-10
C0237,2026-01,2025-07
C0237,2026-08,2026-01
C0242,2026-04,2026-02
C0242,2026-07,2026-04
C0244,2025-10,2025-06
C0244,2026-07,2025-10
C0246,2026-06,2026-04
C0246,2026-07,2026-06
C0247,2026-03,2026-02
C0247,2026-04,2026-03
C0254,2026-01,2025-11
C0256,2026-03,2025-06
C0256,2026-06,2026-03
C0258,2026-06,2025-12
C0259,2025-08,2025-07
C0259,2025-09,2025-08
C0261,2026-02,2025-08
C0261,2026-03,2026-02
C0261,2026-07,2026-03
C0262,2026-02,2025-11
C0263,2026-02,2025-11
C0263,2026-04,2026-02
C0265,2026-04,2025-06
C0265,2026-07,2026-04
C0266,2025-09,2025-07
C0266,2026-05,2025-09
C0266,2026-07,2026-05
C0268,2026-03,2025-12
C0268,2026-04,2026-03
C0268,2026-05,2026-04
C0270,2025-10,2025-08
C0271,2025-11,2025-10
C0271,2026-06,2025-11
C0272,2026-03,2025-07
C0273,2026-02,2025-06
C0274,2025-07,2025-06
C0274,2026-01,2025-07
C0274,2026-03,2026-01
C0276,2026-03,2026-01
C0276,2026-06,2026-03
C0278,2026-05,2026-01
C0280,2026-06,2025-07
C0283,2026-01,2025-12
C0283,2026-07,2026-01
C0284,2025-09,2025-08
C0284,2025-12,2025-09
C0284,2026-01,2025-12
C0288,2026-02,2025-07
C0288,2026-03,2026-02
C0288,2026-06,2026-03
C0290,2025-11,2025-09
C0290,2026-01,2025-11
C0291,2026-07,2026-06
C0292,2025-12,2025-10
C0292,2026-01,2025-12
C0292,2026-04,2026-01
C0293,2026-07,2025-07
C0295,2025-12,2025-11
C0295,2026-01,2025-12
C0295,2026-02,2026-01
C0295,2026-03,2026-02
C0298,2025-09,2025-05
C0299,2025-07,2025-06
C0299,2025-09,2025-07
C0299,2025-12,2025-09
C0299,2026-01,2025-12
C0300,2025-12,2025-06
C0300,2026-07,2025-12
C0304,2025-08,2025-06
C0306,2026-01,2025-09
C0306,2026-02,2026-01
C0307,2025-10,2025-07
C0308,2025-09,2025-07
C0308,2026-04,2025-09
C0311,2026-06,2025-06
C0314,2025-06,2025-05
C0315,2025-09,2025-05
C0315,2025-12,2025-09
C0315,2026-01,2025-12
C0315,2026-06,2026-01
C0315,2026-07,2026-06
C0317,2026-05,2025-06
C0318,2025-10,2025-07
C0318,2025-12,2025-10
C0321,2026-04,2025-07
C0321,2026-07,2026-04
C0323,2026-06,2026-04
C0325,2026-01,2025-11
C0326,2025-07,2025-05
C0326,2026-04,2025-07
C0326,2026-07,2026-04
C0332,2025-06,2025-05
C0332,2025-10,2025-06
C0334,2026-06,2025-11
C0335,2026-01,2025-07
C0335,2026-03,2026-01
C0336,2026-07,2026-03
C0338,2025-11,2025-07
C0338,2026-02,2025-11
C0339,2026-07,2026-05
C0340,2026-03,2025-07
C0341,2025-10,2025-09
C0341,2026-03,2025-10
C0348,2025-12,2025-11
C0348,2026-05,2025-12
C0349,2026-06,2026-03
C0350,2025-09,2025-05
C0350,2026-04,2025-09
C0350,2026-06,2026-04
C0350,2026-07,2026-06
