order_month,monthly_revenue,running_total_revenue
,235470.92,235470.92
2025-05,529530.33,765001.25
2025-06,790113.38,1555114.63
2025-07,1032651.87,2587766.51
2025-08,1049245.34,3637011.85
2025-09,868958.92,4505970.77
2025-10,1163427.42,5669398.19
2025-11,840571.01,6509969.21
2025-12,926195.22,7436164.43
2026-01,836708.26,8272872.69
2026-02,1134657.98,9407530.67
2026-03,991254.59,10398785.26
2026-04,1103732.14,11502517.4
2026-05,728207.84,12230725.24
2026-06,586318.83,12817044.07
2026-07,1173679.44,13990723.51
2026-08,188392.26,14179115.78
