item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O00684,P0068,5,575.51,20.55
I00002,O00969,P0360,5,4282.24,99.29
I00003,O00415,P0040,3,4611.58,19.33
I00004,O00421,P0133,4,2578.57,59.98
I00005,O00627,P0332,2,3822.56,80.48
I00006,O00472,P0034,1,6175.12,73.32
I00007,O00710,P0089,4,6236.12,15.74
I00008,O00492,P0339,4,7008.24,69.11
I00009,O00840,P0494,1,9589.55,6.85
I00010,O00976,P0034,4,9197.93,9.65
I00011,O00227,P0272,3,2102.77,92.04
I00012,O00893,P0451,3,4705.13,57.11
I00013,O00830,P0070,5,9282.21,53.46
I00014,O00558,P0493,2,3615.93,61.86
I00015,O00946,P0345,5,4360.15,46.6
I00016,O00246,P0489,5,2090.06,59.01
I00017,O00901,P0340,1,7443.64,65.03
I00018,O00518,P0452,2,7572.91,39.9
I00019,O00764,P0155,3,9634.55,43.36
I00020,O00692,P0455,3,6179.49,73.04
I00021,O00411,P0119,1,3338.09,20.24
I00022,O00347,P0020,2,3596.41,23.75
I00023,O00785,P0291,4,879.19,74.73
I00024,O00622,P0135,5,5210.46,16.45
I00025,O00745,P0185,3,5689.01,95.15
I00026,O00907,P0251,3,6686.88,88.53
I00027,O00883,P0437,3,5508.26,72.83
I00028,O00482,P0425,3,6724.09,19.26
I00029,O00289,P0384,1,3961.61,55.4
I00030,O00699,P0357,3,7864.19,25.4
I00031,O00605,P0391,1,3371.94,87.49
I00032,O00590,P0392,4,6282.39,79.09
I00033,O00389,P0379,-2,2102.29,35.57
I00034,O00371,P0322,1,5003.61,94.34
I00035,O00411,P0359,3,2188.69,50.8
I00036,O00296,P0118,5,1630.47,72.35
I00037,O00523,P0469,1,7549.88,66.83
I00038,O00406,P0234,4,4835.48,86.59
I00039,O00500,P0470,1,960.49,73.98
I00040,O00580,P0219,3,5405.71,66.28
I00041,O00670,P0191,2,3372.76,98.12
I00042,O00853,P0230,5,8245.87,60.47
I00043,O00822,P0439,4,2272.72,35.23
I00044,O00946,P0137,3,2676.01,45.17
I00045,O00022,P0204,2,7224.74,22.56
I00046,O00376,P0019,1,8452.71,99.35
I00047,O00875,P0053,5,4767.88,15.34
I00048,O00471,P0469,3,9480.57,93.38
I00049,O00249,P0438,2,6437.98,77.46
I00050,O00183,P0474,4,6304.21,25.51
I00051,O00260,P0451,5,5308.61,37.18
I00052,O00354,P0369,1,7848.33,93.03
I00053,O00971,P0108,3,6990.28,95.51
I00054,O00445,P0306,3,7812.7,59.15
I00055,O00961,P0070,2,3153.02,58.86
I00056,O00179,P0416,1,7051.49,97.36
I00057,O00149,P0162,2,1294.49,13.86
I00058,O00692,P0242,2,3844.57,56.94
I00059,O00249,P0075,5,2753.36,2.19
I00060,O00636,P0479,5,4936.96,91.46
I00061,O00244,P0214,1,5457.66,90.91
I00062,O00567,P0443,3,368.41,18.65
I00063,O00973,P0108,3,6033.54,69.09
I00064,O00407,P0238,3,7170.9,45.05
I00065,O00078,P0307,1,267.05,94.16
I00066,O00021,P0287,-5,6598.44,95.53
I00067,O00653,P0260,3,8596.19,26.38
I00068,O00300,P0285,2,8986.03,0.68
I00069,O00863,P0404,4,2556.39,1.22
I00070,O00285,P0004,4,5339.23,55.3
I00071,O00610,P0084,3,2346.74,82.76
I00072,O00844,P0458,5,4264.65,73.37
I00073,O00070,P0195,2,317.58,35.52
I00074,O00078,P0491,4,7605.31,27.32
I00075,O00876,P0452,2,7815.94,78.44
I00076,O00036,P0111,5,7603.32,94.02
I00077,O00062,P0214,5,9203.14,91.7
I00078,O00841,P0127,1,3451.49,95.19
I00079,O00416,P0374,2,6657.22,10.04
I00080,O00013,P0267,3,6252.59,76.74
I00081,O00477,P0050,3,7204.59,26.79
I00082,O00253,P0246,4,7104.87,79.44
I00083,O00765,P0410,4,914.54,74.4
I00084,O00832,P0220,4,7789.31,29.49
I00085,O00109,P0018,4,7476.45,80.8
I00086,O00415,P0372,5,5812.66,28.62
I00087,O00846,P0343,4,6403.0,16.21
I00088,O00828,P0402,1,4585.93,2.46
I00089,O00904,P0440,3,7476.06,23.85
I00090,O00625,P0489,2,7338.41,98.64
I00091,O00869,P0043,5,4671.71,63.35
I00092,O00598,P0379,4,953.91,42.36
I00093,O00951,P0137,4,8863.17,50.06
I00094,O00132,P0305,2,2440.02,39.82
I00095,O00715,P0348,2,7211.57,90.77
I00096,O00694,P0241,3,6922.82,60.74
I00097,O00835,P0136,1,7863.82,3.52
I00098,O00371,P0368,4,5760.52,84.14
I00099,O00406,P0256,-2,932.18,49.17
I00100,O00980,P0394,5,9067.53,33.35
I00101,O00402,P0244,1,1994.12,61.26
I00102,O00312,P0388,3,3453.85,26.21
I00103,O00413,P0142,3,7490.73,89.58
I00104,O00087,P0058,3,8547.81,4.64
I00105,O00956,P0161,4,9288.77,3.4
I00106,O00400,P0058,4,2212.02,97.07
I00107,O00029,P0375,4,3726.33,28.92
I00108,O00822,P0286,2,516.84,58.71
I00109,O00028,P0405,4,2169.98,80.21
