order_id,customer_id,order_date,status,region_code
O00001,C0195,2025-10-20 13:13:58,RETURNED,WEST
O00002,C0309,2026-07-14 13:04:58,PLACED,EAST
O00003,C0198,2025-06-17 03:19:58,PLACED,EAST
O00004,C0452,2025-07-28 13:58:58,PLACED,NORTH
O00005,C0485,2026-02-18 18:47:58,RETURNED,NORTH
O00006,C0481,2025-09-04 09:52:58,PLACED,SOUTH
O00007,C0015,2025-07-31 23:30:58,PLACED,SOUTH
O00008,C0151,2026-05-06 14:42:58,PLACED,NORTH
O00009,C0306,2026-02-10 04:02:58,RETURNED,EAST
O00010,C0315,2025-09-15 05:43:58,RETURNED,WEST
O00011,C0212,2026-05-31 18:37:58,RETURNED,EAST
O00012,C0355,2025-11-21 20:03:58,CANCELLED,SOUTH
O00013,C0476,2025-10-03 05:12:58,DELIVERED,NORTH
O00014,C0268,2025-12-22 07:31:58,DELIVERED,WEST
O00015,C0243,2026-02-21 18:54:58,CANCELLED,EAST
O00016,C0117,2025-05-22 19:38:58,RETURNED,SOUTH
O00017,C0349,2026-03-09 04:06:58,RETURNED,EAST
O00018,C0254,2025-11-01 13:15:58,DELIVERED,EAST
O00019,C0115,2025-11-21 05:10:58,PLACED,WEST
O00020,,2025-08-27 06:21:58,RETURNED,EAST
O00021,C0233,2026-06-04 21:11:58,PLACED,EAST
O00022,C0297,2025-07-12 21:57:58,DELIVERED,NORTH
O00023,C0142,2026-01-28 22:36:58,CANCELLED,WEST
O00024,C0174,2025-12-12 19:09:58,PLACED,WEST
O00025,C0021,2025-08-06 09:48:58,SHIPPED,NORTH
O00026,C0052,2025-12-20 22:59:58,PLACED,NORTH
O00027,C0071,2026-03-02 01:35:58,PLACED,NORTH
O00028,C0176,2025-06-02 21:49:58,DELIVERED,SOUTH
O00029,C0160,2025-07-10 21:47:58,CANCELLED,NORTH
O00030,C0382,2026-04-20 23:06:58,PLACED,NORTH
O00031,C0086,2025-11-28 04:41:58,RETURNED,WEST
O00032,C0483,2025-08-09 06:09:58,CANCELLED,SOUTH
O00033,C0290,2026-01-14 01:30:58,CANCELLED,NORTH
O00034,C0359,2026-06-27 11:22:58,RETURNED,EAST
